Books of the Bible 18dec79b118b8083bbc3d6803f4532a9_all
BookName,OsisID,TotalChapters,Volume,Category,Author,Audience,Major Figures,Major Locations,Genre,Rollup,Verse(s)
Genesis,Gen,50,OT,Law,,Isrealites,Abraham,Egypt,Narrative,,
Exodus,Exod,40,OT,Law,,Isrealites,Moses,,Narrative,,
Leviticus,Lev,27,OT,Law,Moses,Isrealites,Moses,,Narrative,,
Numbers,Num,36,OT,Law,Moses,Isrealites,,,Narrative,,
Deuteronomy,Deut,34,OT,Law,Moses,Isrealites,"Joseph, Moses",Jordan River,Narrative,,
Joshua,Josh,24,OT,History,,Isrealites,,,Narrative,,
Judges,Judg,21,OT,History,,Jewish people,,,Narrative,,
Ruth,Ruth,4,OT,History,,Isrealites,,,,,
1 Samuel,1Sam,31,OT,History,,Jewish people,"David, Saul",,,,
2 Samuel,2Sam,24,OT,History,,Jewish people,"David, Solomon",,,,
1 Kings,1Kgs,22,OT,History,,Jewish people,"Elijah, Elisha","Israel, Judah",,,
2 Kings,2Kgs,25,OT,History,,Jewish people,,,,,
1 Chronicles,1Chr,29,OT,History,Ezra,Jewish people,,,,,
2 Chronicles,2Chr,36,OT,History,Ezra,Jewish people,,,,,
Ezra,Ezra,10,OT,History,Ezra,Jewish people,,,,,
Nehemiah,Neh,13,OT,History,Nehemiah,Jewish people,,,,,
Esther,Esth,10,OT,History,,Jewish people,,,,,
Job,Job,42,OT,Poetry,,Northern Israel,,,,,
Psalms,Ps,150,OT,Poetry,David,Isrealites,David,,,,The Lord is close to the brokenhearted and saves those who are crushed in spirit. (https://www.notion.so/The-Lord-is-close-to-the-brokenhearted-and-saves-those-who-are-crushed-in-spirit-188ec79b118b80b4a80bc7dda436e5eb?pvs=21)
Proverbs,Prov,31,OT,Poetry,Solomon,Jewish people,,,,,
Ecclesiastes,Eccl,12,OT,Poetry,Solomon,Jewish people,,,,,"Two are better than one, because they have a good reward for their labor, for if they fall, one will lift up his companion. But woe to him who is alone when he falls, for he has no one to help him up. (https://www.notion.so/Two-are-better-than-one-because-they-have-a-good-reward-for-their-labor-for-if-they-fall-one-will-196ec79b118b80a78797de5b5ccd4450?pvs=21)"
Song of Solomon,Song,8,OT,Poetry,Solomon,Isrealites,,,,,
Isaiah,Isa,66,OT,Major Prophet,Isaiah,Jewish people,,,,,
Jeremiah,Jer,52,OT,Major Prophet,Jeremiah,Nation of Judah,,,,,
Lamentations,Lam,5,OT,Major Prophet,Jeremiah,Jewish people,,Egypt,,,
Ezekiel,Ezek,48,OT,Major Prophet,Exekiel,Jewish people in Babylon,,,,,
Daniel,Dan,12,OT,Major Prophet,Daniel,Exiled Jewish people,Daniel,,,,
Hosea,Hos,14,OT,Minor Prophet,Hosea,Northern Israel,,,,,
Joel,Joel,3,OT,Minor Prophet,Joel,Jewish people in Judah,,,,,
Amos,Amos,9,OT,Minor Prophet,Amos,Isrealites,,,,,
Obadiah,Obad,1,OT,Minor Prophet,Obadiah,Edomites,,,,,
Jonah,Jonah,4,OT,Minor Prophet,Jonah,"Gentile people of Nineveh, Jewish people",,Nineveh,,,
Micah,Mic,7,OT,Minor Prophet,Micah,Jewish people in Judea,,,,,
Nahum,Nah,3,OT,Minor Prophet,Nahum,Isrealites,,,,,
Habakkuk,Hab,3,OT,Minor Prophet,Habakkuk,Jewish people in Judah,,,,,
Zephaniah,Zeph,3,OT,Minor Prophet,Zephaniah,Jewish people in Judah,,,,,
Haggai,Hag,2,OT,Minor Prophet,Haggai,Jewish people in Jerusalem,,,,,
Zechariah,Zech,14,OT,Minor Prophet,Zachariah,Jewish people in Judah,,,,,
Malachi,Mal,4,OT,Minor Prophet,Malachi,Isrealites,,,,,
Matthew,Matt,28,NT,Gospel,Matthew,Jewish Christians,"Jesus, Joseph",,,,
