Honoree,Initial Date of Circulation,Release Year
Maya Angelou,January 3,2022
Dr. Sally Ride,March 22,2022
Wilma Mankiller,June 6,2022
Nina Otero-Warren,August 15,2022
Anna May Wong,October 25,2022
Bessie Coleman,January 3,2023
Edith Kanakaʻole,March 27,2023
Eleanor Roosevelt,June 5,2023
Jovita Idar,August 14,2023
Maria Tallchief,October 23,2023
Rev. Dr. Pauli Murray,February 1,2024
Patsy Takemoto Mink,March 25,2024
Dr. Mary Edwards Walker,June 17,2024
Celia Cruz,August 12,2024
Zitkala-Ša,October 21,2024
Ida B. Wells,January 6,2025
Juliette Gordon Low,March 17,2025
Dr. Vera Rubin,June 9,2025
Stacey Park Milbern,August 18,2025
Althea Gibson,October 20,2025
